Destination,Transit Time,Transporter
92509,1,UPS
92532,1,UPS
92549,1,UPS
92625,1,UPS
93116,1,UPS
93130,1,UPS
93283,1,UPS
93532,1,UPS
90099,1,UPS
90296,1,UPS
90604,1,UPS
90638,1,UPS
90717,1,UPS
91006,1,UPS
91313,1,UPS
91329,1,UPS
91407,1,UPS
91603,1,UPS
91735,1,UPS
91784,1,UPS
92064,1,UPS
92155,1,UPS
92220,1,UPS
93285,1,UPS
93437,1,UPS
93596,1,UPS
92391,1,UPS
92518,1,UPS
92603,1,UPS
93109,1,UPS
90082,1,UPS
90089,1,UPS
90403,1,UPS
90506,1,UPS
91003,1,UPS
91396,1,UPS
91745,1,UPS
91788,1,UPS
91917,1,UPS
92019,1,UPS
92072,1,UPS
92093,1,UPS
92114,1,UPS
92119,1,UPS
92142,1,UPS
92203,1,UPS
92423,1,UPS
92514,1,UPS
92811,1,UPS
92882,1,UPS
93009,1,UPS
93206,1,UPS
93428,1,UPS
93553,1,UPS
90277,1,UPS
90670,1,UPS
90703,1,UPS
90732,1,UPS
91024,1,UPS
91101,1,UPS
91307,1,UPS
91416,1,UPS
91601,1,UPS
91741,1,UPS
91764,1,UPS
91909,1,UPS
92065,1,UPS
92126,1,UPS
92173,1,UPS
92393,1,UPS
92403,1,UPS
92507,1,UPS
92650,1,UPS
92781,1,UPS
90001,1,UPS
90019,1,UPS
90054,1,UPS
90057,1,UPS
90066,1,UPS
90071,1,UPS
90266,1,UPS
90303,1,UPS
90508,1,UPS
90624,1,UPS
90749,1,UPS
90834,1,UPS
90846,1,UPS
91182,1,UPS
91226,1,UPS
91401,1,UPS
91503,1,UPS
91702,1,UPS
91776,1,UPS
91785,1,UPS
91901,1,UPS
91942,1,UPS
92013,1,UPS
92049,1,UPS
92135,1,UPS
92202,1,UPS
92234,1,UPS
92334,1,UPS
92508,1,UPS
92599,1,UPS
92679,1,UPS
92846,1,UPS
92880,1,UPS
93222,1,UPS
93380,1,UPS
93386,1,UPS
93405,1,UPS
93412,1,UPS
93453,1,UPS
93458,1,UPS
93561,1,UPS
90035,1,UPS
90084,1,UPS
90231,1,UPS
90245,1,UPS
90748,1,UPS
91009,1,UPS
91104,1,UPS
91306,1,UPS
91337,1,UPS
91343,1,UPS
91345,1,UPS
91403,1,UPS
91426,1,UPS
91762,1,UPS
92021,1,UPS
92024,1,UPS
92116,1,UPS
92140,1,UPS
92143,1,UPS
92160,1,UPS
92163,1,UPS
92321,1,UPS
92536,1,UPS
92628,1,UPS
92646,1,UPS
92657,1,UPS
92677,1,UPS
92685,1,UPS
92694,1,UPS
92804,1,UPS
92821,1,UPS
92840,1,UPS
92869,1,UPS
93216,1,UPS
93301,1,UPS
93305,1,UPS
93436,1,UPS
93555,1,UPS
90002,1,UPS
90022,1,UPS
90073,1,UPS
90078,1,UPS
90094,1,UPS
90280,1,UPS
90620,1,UPS
91406,1,UPS
91506,1,UPS
91905,1,UPS
92030,1,UPS
92115,1,UPS
92263,1,UPS
92374,1,UPS
92404,1,UPS
92503,1,UPS
92531,1,UPS
92585,1,UPS
92662,1,UPS
92673,1,UPS
93020,1,UPS
93140,1,UPS
93390,1,UPS
93502,1,UPS
92656,1,UPS
92674,1,UPS
92886,1,UPS
93005,1,UPS
93042,1,UPS
93389,1,UPS
93434,1,UPS
93435,1,UPS
93516,1,UPS
90213,1,UPS
90261,1,UPS
90274,1,UPS
90301,1,UPS
90310,1,UPS
90404,1,UPS
90503,1,UPS
90607,1,UPS
90650,1,UPS
90743,1,UPS
91001,1,UPS
91185,1,UPS
91205,1,UPS
91341,1,UPS
91510,1,UPS
91716,1,UPS
91747,1,UPS
91903,1,UPS
91978,1,UPS
92060,1,UPS
92153,1,UPS
92274,1,UPS
92301,1,UPS
90011,1,UPS
90853,1,UPS
91763,1,UPS
91935,1,UPS
92026,1,UPS
92055,1,UPS
92145,1,UPS
92260,1,UPS
92285,1,UPS
92546,1,UPS
92555,1,UPS
92705,1,UPS
92808,1,UPS
92871,1,UPS
92883,1,UPS
93007,1,UPS
93060,1,UPS
93120,1,UPS
93250,1,UPS
93255,1,UPS
93306,1,UPS
90060,1,UPS
90510,1,UPS
91016,1,UPS
91077,1,UPS
91304,1,UPS
91496,1,UPS
91605,1,UPS
91724,1,UPS
91977,1,UPS
92154,1,UPS
92166,1,UPS
92169,1,UPS
92192,1,UPS
92195,1,UPS
92223,1,UPS
92286,1,UPS
92543,1,UPS
92692,1,UPS
92868,1,UPS
93410,1,UPS
93432,1,UPS
93523,1,UPS
93563,1,UPS
90048,1,UPS
90090,1,UPS
91041,1,UPS
91320,1,UPS
91351,1,UPS
91354,1,UPS
91405,1,UPS
91501,1,UPS
91944,1,UPS
92132,1,UPS
92138,1,UPS
92342,1,UPS
92406,1,UPS
92411,1,UPS
92616,1,UPS
92651,1,UPS
92655,1,UPS
92812,1,UPS
92863,1,UPS
93108,1,UPS
93224,1,UPS
93534,1,UPS
90024,1,UPS
90068,1,UPS
90406,1,UPS
91007,1,UPS
91114,1,UPS
91121,1,UPS
91346,1,UPS
91615,1,UPS
91734,1,UPS
91746,1,UPS
91912,1,UPS
91943,1,UPS
92103,1,UPS
92124,1,UPS
92168,1,UPS
92252,1,UPS
92317,1,UPS
92318,1,UPS
92329,1,UPS
92392,1,UPS
92427,1,UPS
92672,1,UPS
92691,1,UPS
92816,1,UPS
92866,1,UPS
93032,1,UPS
93044,1,UPS
93201,1,UPS
93252,1,UPS
93265,1,UPS
90017,1,UPS
90041,1,UPS
90059,1,UPS
90076,1,UPS
90290,1,UPS
90721,1,UPS
90822,1,UPS
91301,1,UPS
91326,1,UPS
91367,1,UPS
91505,1,UPS
92008,1,UPS
92033,1,UPS
92102,1,UPS
92129,1,UPS
92337,1,UPS
92398,1,UPS
92548,1,UPS
92572,1,UPS
92606,1,UPS
92614,1,UPS
92702,1,UPS
92836,1,UPS
93218,1,UPS
93304,1,UPS
93402,1,UPS
90222,1,UPS
90255,1,UPS
90263,1,UPS
90311,1,UPS
90409,1,UPS
90411,1,UPS
90747,1,UPS
90835,1,UPS
91043,1,UPS
91184,1,UPS
91302,1,UPS
91499,1,UPS
91772,1,UPS
92075,1,UPS
92082,1,UPS
92112,1,UPS
92137,1,UPS
92197,1,UPS
92268,1,UPS
92513,1,UPS
92653,1,UPS
93003,1,UPS
93023,1,UPS
93103,1,UPS
93220,1,UPS
93313,1,UPS
93464,1,UPS
93543,1,UPS
93552,1,UPS
90044,1,UPS
90848,1,UPS
91319,1,UPS
91340,1,UPS
91342,1,UPS
91390,1,UPS
91608,1,UPS
91715,1,UPS
91789,1,UPS
91793,1,UPS
91921,1,UPS
92061,1,UPS
92230,1,UPS
92254,1,UPS
92341,1,UPS
92373,1,UPS
92833,1,UPS
92845,1,UPS
92865,1,UPS
93101,1,UPS
93117,1,UPS
93160,1,UPS
93226,1,UPS
93240,1,UPS
93383,1,UPS
93450,1,UPS
93528,1,UPS
90013,1,UPS
90034,1,UPS
90202,1,UPS
90832,1,UPS
90833,1,UPS
91106,1,UPS
91117,1,UPS
91222,1,UPS
91385,1,UPS
91521,1,UPS
91526,1,UPS
91896,1,UPS
91899,1,UPS
91962,1,UPS
92052,1,UPS
92056,1,UPS
92198,1,UPS
92256,1,UPS
92284,1,UPS
92314,1,UPS
92359,1,UPS
92371,1,UPS
92382,1,UPS
92502,1,UPS
92583,1,UPS
92592,1,UPS
92593,1,UPS
92735,1,UPS
92834,1,UPS
92841,1,UPS
93041,1,UPS
93225,1,UPS
93261,1,UPS
93309,1,UPS
93440,1,UPS
93447,1,UPS
93544,1,UPS
90308,1,UPS
90501,1,UPS
90711,1,UPS
90720,1,UPS
91359,1,UPS
91380,1,UPS
91383,1,UPS
91523,1,UPS
91604,1,UPS
91770,1,UPS
91778,1,UPS
91987,1,UPS
92020,1,UPS
92025,1,UPS
92054,1,UPS
92130,1,UPS
92170,1,UPS
92253,1,UPS
92261,1,UPS
92324,1,UPS
92408,1,UPS
92506,1,UPS
92551,1,UPS
92584,1,UPS
92652,1,UPS
92728,1,UPS
92799,1,UPS
92822,1,UPS
93302,1,UPS
93311,1,UPS
93424,1,UPS
93535,1,UPS
90008,1,UPS
90028,1,UPS
90038,1,UPS
90241,1,UPS
90716,1,UPS
90808,1,UPS
91010,1,UPS
91327,1,UPS
91423,1,UPS
91714,1,UPS
91744,1,UPS
91765,1,UPS
91802,1,UPS
92040,1,UPS
92067,1,UPS
92179,1,UPS
92338,1,UPS
92571,1,UPS
92582,1,UPS
92688,1,UPS
93030,1,UPS
93061,1,UPS
93062,1,UPS
93387,1,UPS
93451,1,UPS
93510,1,UPS
93586,1,UPS
90049,1,UPS
90087,1,UPS
90088,1,UPS
90134,1,UPS
90265,1,UPS
90312,1,UPS
91305,1,UPS
91376,1,UPS
91394,1,UPS
91409,1,UPS
91609,1,UPS
91611,1,UPS
91618,1,UPS
91750,1,UPS
91768,1,UPS
92105,1,UPS
93483,1,UPS
92325,1,UPS
92504,1,UPS
92517,1,UPS
92563,1,UPS
92589,1,UPS
92615,1,UPS
92660,1,UPS
93002,1,UPS
93243,1,UPS
90045,1,UPS
90264,1,UPS
90623,1,UPS
90639,1,UPS
91364,1,UPS
91413,1,UPS
91941,1,UPS
92018,1,UPS
92046,1,UPS
92066,1,UPS
92150,1,UPS
92172,1,UPS
92312,1,UPS
92570,1,UPS
92595,1,UPS
92620,1,UPS
92647,1,UPS
92805,1,UPS
92864,1,UPS
92867,1,UPS
93012,1,UPS
93190,1,UPS
93241,1,UPS
93441,1,UPS
93551,1,UPS
93556,1,UPS
90052,1,UPS
90210,1,UPS
90295,1,UPS
90410,1,UPS
90603,1,UPS
90621,1,UPS
90632,1,UPS
90680,1,UPS
91392,1,UPS
91786,1,UPS
91914,1,UPS
91950,1,UPS
92111,1,UPS
92121,1,UPS
92501,1,UPS
92610,1,UPS
92618,1,UPS
92648,1,UPS
93065,1,UPS
93094,1,UPS
93099,1,UPS
93454,1,UPS
93461,1,UPS
93554,1,UPS
90083,1,UPS
90233,1,UPS
90254,1,UPS
90601,1,UPS
90744,1,UPS
90803,1,UPS
90840,1,UPS
91108,1,UPS
91214,1,UPS
91384,1,UPS
91740,1,UPS
91761,1,UPS
91780,1,UPS
92036,1,UPS
92039,1,UPS
92068,1,UPS
92084,1,UPS
92248,1,UPS
92322,1,UPS
92397,1,UPS
92405,1,UPS
92561,1,UPS
92627,1,UPS
92693,1,UPS
92697,1,UPS
93006,1,UPS
93110,1,UPS
93452,1,UPS
93542,1,UPS
90275,1,UPS
90302,1,UPS
90707,1,UPS
91031,1,UPS
91110,1,UPS
91125,1,UPS
91203,1,UPS
91387,1,UPS
91769,1,UPS
91773,1,UPS
91933,1,UPS
92029,1,UPS
92081,1,UPS
92167,1,UPS
92278,1,UPS
92352,1,UPS
92368,1,UPS
92369,1,UPS
92378,1,UPS
92410,1,UPS
92802,1,UPS
92803,1,UPS
93308,1,UPS
93423,1,UPS
93433,1,UPS
93560,1,UPS
96110,2,UPS
96101,2,UPS
84540,2,UPS
96123,2,UPS
96104,2,UPS
96119,2,UPS
96108,2,UPS
96116,2,UPS
96115,2,UPS
84515,2,UPS
84530,2,UPS
84532,2,UPS
96134,2,UPS
84525,2,UPS
96112,2,UPS
96132,2,UPS
96015,2,UPS
92364,2,UPS
92309,2,UPS
92323,2,UPS
92366,2,UPS
92304,2,UPS
92332,2,UPS
84027,2,UPS
84130,2,UPS
84139,2,UPS
84308,2,UPS
84622,2,UPS
84639,2,UPS
84729,2,UPS
84773,2,UPS
85019,2,UPS
85209,2,UPS
85323,2,UPS
85333,2,UPS
85362,2,UPS
85385,2,UPS
85608,2,UPS
85629,2,UPS
85920,2,UPS
85935,2,UPS
86015,2,UPS
86331,2,UPS
86434,2,UPS
79912,2,UPS
79930,2,UPS
89570,2,UPS
89822,2,UPS
88520,2,UPS
88569,2,UPS
88576,2,UPS
88578,2,UPS
89074,2,UPS
89111,2,UPS
89177,2,UPS
83333,2,UPS
83405,2,UPS
96111,2,UPS
96114,2,UPS
96140,2,UPS
93702,2,UPS
93706,2,UPS
94086,2,UPS
94105,2,UPS
94520,2,UPS
94581,2,UPS
94609,2,UPS
94904,2,UPS
95041,2,UPS
95111,2,UPS
95122,2,UPS
95150,2,UPS
95201,2,UPS
95220,2,UPS
95315,2,UPS
95341,2,UPS
95426,2,UPS
95450,2,UPS
95562,2,UPS
95654,2,UPS
95698,2,UPS
95763,2,UPS
95836,2,UPS
95915,2,UPS
96025,2,UPS
96068,2,UPS
79902,2,UPS
79905,2,UPS
79936,2,UPS
79950,2,UPS
84080,2,UPS
84634,2,UPS
84637,2,UPS
84732,2,UPS
85215,2,UPS
85244,2,UPS
85540,2,UPS
85552,2,UPS
85621,2,UPS
85734,2,UPS
85737,2,UPS
85747,2,UPS
85750,2,UPS
86433,2,UPS
86547,2,UPS
83221,2,UPS
83246,2,UPS
83454,2,UPS
93657,2,UPS
93907,2,UPS
93920,2,UPS
93922,2,UPS
94018,2,UPS
94569,2,UPS
94612,2,UPS
94805,2,UPS
94979,2,UPS
95004,2,UPS
95005,2,UPS
95115,2,UPS
95134,2,UPS
95249,2,UPS
95327,2,UPS
95403,2,UPS
95913,2,UPS
95949,2,UPS
95959,2,UPS
96032,2,UPS
96046,2,UPS
96127,2,UPS
96142,2,UPS
88513,2,UPS
88549,2,UPS
89047,2,UPS
89120,2,UPS
89136,2,UPS
89195,2,UPS
89420,2,UPS
89521,2,UPS
89595,2,UPS
89801,2,UPS
89823,2,UPS
93606,2,UPS
93623,2,UPS
84129,2,UPS
84404,2,UPS
84636,2,UPS
84701,2,UPS
84751,2,UPS
84753,2,UPS
85039,2,UPS
85140,2,UPS
85298,2,UPS
85305,2,UPS
85336,2,UPS
85548,2,UPS
85648,2,UPS
85719,2,UPS
86001,2,UPS
86038,2,UPS
86320,2,UPS
86338,2,UPS
86412,2,UPS
86437,2,UPS
83204,2,UPS
88530,2,UPS
88539,2,UPS
88581,2,UPS
89022,2,UPS
89070,2,UPS
89101,2,UPS
89115,2,UPS
89141,2,UPS
89160,2,UPS
89179,2,UPS
89441,2,UPS
89712,2,UPS
93703,2,UPS
94188,2,UPS
94287,2,UPS
94295,2,UPS
94567,2,UPS
94924,2,UPS
94929,2,UPS
94948,2,UPS
95001,2,UPS
95066,2,UPS
95227,2,UPS
95346,2,UPS
95536,2,UPS
95609,2,UPS
95665,2,UPS
95812,2,UPS
95823,2,UPS
95955,2,UPS
96023,2,UPS
96029,2,UPS
96049,2,UPS
96126,2,UPS
84003,2,UPS
84020,2,UPS
84033,2,UPS
84042,2,UPS
84072,2,UPS
84120,2,UPS
84123,2,UPS
84307,2,UPS
85014,2,UPS
85123,2,UPS
85147,2,UPS
85366,2,UPS
85369,2,UPS
85372,2,UPS
85502,2,UPS
85632,2,UPS
85708,2,UPS
86326,2,UPS
86351,2,UPS
83241,2,UPS
83277,2,UPS
